Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,surfing,M,35.0,N
2017.0,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,fishing,M,,N
2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,swimming,M,,Y
2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,surfing,M,42.0,N
2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",swimming,M,,N
2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",swimming,F,,N
2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,17.0,N
2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,surfing,M,37.0,N
2017.0,Unprovoked,USA,Florida,Bathtub Beach ,wading,F,3.0,N
2017.0,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,other,M,,N
2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",other,M,69.0,N
2017.0,Unprovoked,BAHAMAS,,,fishing,M,,N
2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",swimming,M,13.0,N
2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,other,F,20.0,N
2017.0,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",fishing,M,34.0,N
2017.0,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",fishing,M,,N
2017.0,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",surfing,M,15.0,N
2017.0,"Valid, but unknown",USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,M,10.0,UNKNOWN
2017.0,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",unknown,F,12.0,N
2017.0,Unprovoked,BAHAMAS,New Providence District,Rose Island,other,F,,N
2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,fishing,M,,N
2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,surfing,M,37.0,N
2017.0,Unprovoked,USA,New Jersey,Ventnor,unknown,F,,N
2017.0,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",swimming,F,,N
2017.0,Unprovoked,USA,Florida,"Snipes Point, Monroe County",unknown,F,40.0,N
2017.0,Boating,USA,California,"Stearns Wharf, Santa Barbara",other,M,40.0,N
2017.0,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",other,M,50.0,N
2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",surfing,M,,N
2017.0,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,surfing,M,,N
2017.0,"Valid, but unknown",USA,California,"Santa Cruz, Santa Cruz County",other,M,,N
2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",swimming,M,46.0,N
2017.0,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",fishing,M,32.0,N
2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",surfing,F,13.0,N
2017.0,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",swimming,F,16.0,N
2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",surfing,M,,N
2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",swimming,F,14.0,N
2017.0,Unprovoked,REUNION,,Roches Noire,surfing,M,34.0,N
2017.0,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,swimming,M,82.0,N
2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",surfing,M,,N
2017.0,Unprovoked,BAHAMAS,,,other,F,,N
2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",surfing,M,48.0,N
2017.0,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",surfing,F,,N
2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,M,19.0,N
2017.0,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,surfing,M,30.0,N
2017.0,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",fishing,M,,N
2017.0,Unprovoked,BAHAMAS,New Providence ,Athol Island,other,F,32.0,N
2017.0,Provoked,USA,South Carolina,"Awendaw, Charleston County",other,F,20.0,N
2017.0,Unprovoked,USA,Florida,Off Jupiter,other,M,,N
2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,fishing,M,41.0,N
2017.0,Provoked,AUSTRALIA,Queensland,Weipa,other,M,29.0,N
2017.0,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",other,M,33.0,Y
2017.0,Unprovoked,USA,California,"San Onofre, San Diego County ",swimming,F,,N
2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",surfing,M,14.0,N
2017.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",surfing,F,33.0,N
2017.0,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,surfing,M,28.0,Y
2017.0,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",surfing,F,,N
2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,other,F,40.0,N
2017.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",unknown,Unknown,,N
2017.0,"Valid, but unknown",AUSTRALIA,Western Australia,Kelpies near Wylie Bay,surfing,F,17.0,Y
2017.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",surfing,M,28.0,N
2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,M,17.0,N
2017.0,Unprovoked,USA,Florida,St. Augustine,surfing,F,,N
